Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian  Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,,2018/08/07,to-read,to-read (#16),to-read,,,,0,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.22,Gallery Books,Paperback,288,1998,1936,,2015/01/06,to-read,to-read (#15),to-read,,,,0,0
125187,El desierto de los tártaros,Dino Buzzati,"Buzzati, Dino",Esther Benítez,"=""9873797505""","=""9789873797507""",0,4.21,Alianza Editorial,Paperback,267,2020,1940,,2018/07/13,to-read,to-read (#14),to-read,,,,0,0
1810769,Total Khéops,Jean-Claude Izzo,"Izzo, Jean-Claude",,"=""2070417204""","=""9782070417209""",0,3.84,Folio,Paperback,352,2001,1995,,2018/07/13,"detectives, to-read","detectives (#1), to-read (#13)",to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.15,Crown Currency,Hardcover,195,2014,2014,,2017/10/03,to-read,to-read (#12),to-read,,,,0,0
22571552,So You've Been Publicly Shamed,Jon Ronson,"Ronson, Jon",,"=""1594487138""","=""9781594487132""",0,3.93,Riverhead Books,Hardcover,290,2015,2015,,2017/01/06,to-read,to-read (#11),to-read,,,,0,0
7147831,"Min kamp 1 (Min kamp, #1)",Karl Ove Knausgård,"Knausgård, Karl Ove",,"=""8252574580""","=""9788252574586""",0,4.10,Forlaget Oktober,Hardcover,435,2009,2009,,2015/04/08,to-read,to-read (#10),to-read,,,,0,0
243714,Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""""","=""""",0,4.18,Mariner Books,Paperback,198,1999,1999,,2014/07/30,to-read,to-read (#9),to-read,,,,0,0
256566,Everything is Illuminated,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0060529709""","=""9780060529703""",0,3.89,Harper Perennial,Paperback,276,2003,2002,,2014/07/30,to-read,to-read (#8),to-read,,,,0,0
1331653,Salmon Fishing in the Yemen,Paul Torday,"Torday, Paul",,"=""""","=""""",0,3.55,Phoenix,Paperback,329,2007,2007,,2014/07/21,to-read,to-read (#7),to-read,,,,0,0
4407,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.10,Headline Review,Paperback,635,2005,2001,,2014/06/04,to-read,to-read (#5),to-read,,,,0,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",0,4.31,Tor,Mass Market Paperback,324,2004,1985,,2014/06/04,to-read,to-read (#4),to-read,,,,0,0
103342,Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,"Oufkir, Malika",Michèle Fitoussi,"=""0786886307""","=""9780786886302""",0,4.06,Hyperion Books,Paperback,294,2002,1999,,2014/03/27,to-read,to-read (#3),to-read,,,,0,0
4989833,No pienses en un elefante: Lenguaje y debate político,George Lakoff,"Lakoff, George",Magdalena Mora Mallo,"=""8474918138""","=""9788474918137""",0,3.97,Editorial Complutense,Paperback,176,2007,2004,,2014/03/27,to-read,to-read (#2),to-read,,,,0,0
664652,Ladies And Gentlemen Of The Jury: Greatest Closing Arguments In Modern Law,Michael S. Lief,"Lief, Michael S.","Ben Bycel, H. Mitchell Caldwell","=""0684859483""","=""9780684859484""",0,3.88,Scribner,Paperback,400,2000,1998,,2014/03/27,to-read,to-read (#1),to-read,,,,0,0
